user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
863981324117327872,1237121003387383808,2020-03-09T21:00:06Z,barcastuff_idn,Pemerintah Spanyol telah menjangkau setiap Komunitas Otonom di negara itu tentang kemungkinan bermain pertandingan La Liga di balik pintu tertutup / tanpa penonton karena penyebaran coronavirus [el confidencial],Twitter for Android,211,1237120302951198720,863981324117327872,barcastuff_idn,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/barcastuff_idn/status/1237121003387383808,IG : @Barcastuff.id,"","Akun Twitter Barca Stuff Indonesia. Update berita terbaru & terlengkap @fcbarcelona : Rumor, Jadwal dan seputar transfer pemain.",,FALSE,9360,276,12,17517,7,2017-05-15T04:56:14Z,FALSE,,,,https://pbs.twimg.com/profile_banners/863981324117327872/1577013340,,http://pbs.twimg.com/profile_images/980042550022033410/Se1Z8e80_normal.jpg
863981324117327872,1236953161027309568,2020-03-09T09:53:09Z,barcastuff_idn,"SPORT | Barça-Napoli tampaknya akan dimainkan secara tertutup minggu depan karena coronavirus. Pertemuan hari ini &amp; besok antara pemerintah &amp; klub setempat untuk membuat keputusan. Sudah dikonfirmasi pertandingan Valencia-Atalanta &amp; Getafe-Inter tanpa penonton.",Twitter for Android,273,,,,FALSE,FALSE,11,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/barcastuff_idn/status/1236953161027309568,IG : @Barcastuff.id,"","Akun Twitter Barca Stuff Indonesia. Update berita terbaru & terlengkap @fcbarcelona : Rumor, Jadwal dan seputar transfer pemain.",,FALSE,9360,276,12,17517,7,2017-05-15T04:56:14Z,FALSE,,,,https://pbs.twimg.com/profile_banners/863981324117327872/1577013340,,http://pbs.twimg.com/profile_images/980042550022033410/Se1Z8e80_normal.jpg
3929713932,1237117967793414146,2020-03-09T20:48:02Z,MieBasoCiamis,"Detik Sport : Waspada Corona, Seluruh Pertandingan Olahraga di Italia Digelar Tertutup https://t.co/3AKwaoThA4 https://t.co/eDBTLREK5q 08381000333 https://t.co/4CUhLTWeU4",dlvr.it,146,,,,FALSE,FALSE,0,0,,,,,dlvr.it/RRYlq2|bit.ly/MieBasoCiamis,https://t.co/3AKwaoThA4|https://t.co/eDBTLREK5q,http://dlvr.it/RRYlq2|http://bit.ly/MieBasoCiamis,http://pbs.twimg.com/media/ESsgPF-VAAAycb9.jpg,https://t.co/4CUhLTWeU4,https://twitter.com/MieBasoCiamis/status/1237117967793414146/photo/1,photo,http://pbs.twimg.com/media/ESsgPF-VAAAycb9.jpg,https://t.co/4CUhLTWeU4,https://twitter.com/MieBasoCiamis/status/1237117967793414146/photo/1,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/7706827e5ae21f3f.json,Serpong,"Serpong, Indonesia",city,Indonesia,ID,-6.30529586|106.67948842,106.67948842|-6.30529586,106.663609|106.714597|106.714597|106.663609|-6.344326|-6.344326|-6.270266|-6.270266,https://twitter.com/MieBasoCiamis/status/1237117967793414146,Mie Baso Ciamis,BSD Sektor 1.3 St Bis TransBSD,"Nikmati sajian mie baso dengan kuah kaldu yang gurih khas Ciamis. 100% halal dan RAOS! BSD (08381000333) | Bintaro (021-71352589)",https://t.co/9Jvg6x9acn,FALSE,157,241,4,19711,3577,2015-10-17T23:20:12Z,FALSE,https://t.co/9Jvg6x9acn,http://bit.ly/MieBasoCiamis,,https://pbs.twimg.com/profile_banners/3929713932/1473117790,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/669528933059031044/60apED7c_normal.jpg
1032479975373295616,1237110080182423552,2020-03-09T20:16:42Z,Sriharmini12,"@tempodotco @Dra_satria Ketidak jujuran penguasa negri ini membuat rakyat tdk percaya apapun yg mereka katakan. Harus banyak yg terkena corona. Kl tdk begitu, alasan apa yg dipakai utk dapat utang IMF? Rezim penghutang",Twitter for Android,194,1237074556222758912,18129942,tempodotco,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,18129942|2180220997,tempodotco|Dra_satria,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/Sriharmini12/status/1237110080182423552,Sri harmini,"","",,FALSE,1908,2595,0,12257,4388,2018-08-23T04:09:43Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1033552849152630784/PVDkeKJ8_normal.jpg
1032479975373295616,1233871121163751424,2020-02-29T21:46:14Z,Sriharmini12,@MichelAdamNP Tdk ada yg percaya bhw corona tdk ada di Indonesia mengingat begitu banyak warga China yg datang ke Indonesia. Mereka bebas merdeka utk datang kesini,Twitter for Android,149,1233656575778123777,1175091997973131265,MichelAdamNP,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,1175091997973131265,MichelAdamNP,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/Sriharmini12/status/1233871121163751424,Sri harmini,"","",,FALSE,1908,2595,0,12257,4388,2018-08-23T04:09:43Z,FALSE,,,,,,http://pbs.twimg.com/profile_images/1033552849152630784/PVDkeKJ8_normal.jpg
3243938948,1237098849946046464,2020-03-09T19:32:04Z,bagaspatih_,"@unilubis Moga WHO dan IMF beneran mau ngasih pinjaman buat menanggulangi Corona. Kasihan petugas medis cuma pake jas hujan dan terlihat kurang persiapan. Padahal sebelum ada wacana pinjaman itu, kita semua Percaya Diri kalau Infonedia bebas dari corona.",Twitter for Android,244,1237077138861207552,85087815,unilubis,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,85087815,unilubis,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/bagaspatih_/status/1237098849946046464,Patih Bagaskara,"",Juniornya Kakak Pembina,,FALSE,52,76,0,2314,1424,2015-06-13T06:02:41Z,FALSE,,,,https://pbs.twimg.com/profile_banners/3243938948/1462101992,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1171167317884932096/1Cdbtc3G_normal.jpg
522000167,1237095074707599360,2020-03-09T19:17:04Z,Eka_K_S,"Enam WNI Positif Virus Corona, Ari Wibowo: Saya Nggak Percaya https://t.co/kepX1nTApA",dlvr.it,85,,,,FALSE,FALSE,0,0,,,,,dlvr.it/RRYWnk,https://t.co/kepX1nTApA,http://dlvr.it/RRYWnk,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/Eka_K_S/status/1237095074707599360,EkaKS,indonesia WIB,aku hanya ingin dimengerti oleh orang lain          Mention For Follback.. :),http://t.co/6r4dCHZkJv,FALSE,215,384,7,184943,72,2012-03-12T06:04:37Z,FALSE,http://t.co/6r4dCHZkJv,http://smashbismaniac.blogspot.com/,,https://pbs.twimg.com/profile_banners/522000167/1352957453,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3131848040/8c0c5ba56bc3cc2aeac17e4c870376d3_normal.jpeg
1342221242,1237095063835963392,2020-03-09T19:17:01Z,putri_ayuandii,"Enam WNI Positif Virus Corona, Ari Wibowo: Saya Nggak Percaya https://t.co/Iw6qXQMgyy",dlvr.it,85,,,,FALSE,FALSE,0,0,,,,,dlvr.it/RRYWl8,https://t.co/Iw6qXQMgyy,http://dlvr.it/RRYWl8,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/putri_ayuandii/status/1237095063835963392,Putri,bandung,26 november 1996,,FALSE,363,94,5,105029,0,2013-04-10T15:43:57Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1342221242/1366894244,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3572883776/3e12bbc9bcf85841ea7e5c68c5f773f7_normal.jpeg
119679771,1237086433870876672,2020-03-09T18:42:44Z,GadisFbrndn,"badan panas sampe 39 derajat, jujur parno bgt corona😭😭😭",Twitter for iPhone,55,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/GadisFbrndn/status/1237086433870876672,ibunn,"",all abt my ❤️. aku bucin sowrry,,FALSE,1501,646,1,74729,29,2010-03-04T09:46:05Z,FALSE,,,,https://pbs.twimg.com/profile_banners/119679771/1582232302,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1236667973537947653/5cPdnItA_normal.jpg
274537997,1237083721154449423,2020-03-09T18:31:57Z,Michael_P_N_A,"Jujur ini pertama kali dalam idup wa klo bersin di Public Places bawaannya insecure. Kan gak lucu ya wa yang allergic  to dust, pollen and cold ini abis bersin diliatin, dianggep penyebar virus Corona :( blom nanti ada aja yang mungkin minta wa di kick out huehuehue..",Twitter for Android,268,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/Michael_P_N_A/status/1237083721154449423,Micky Mickey,"","",https://t.co/hFG96rbjTr,FALSE,387,2018,5,47966,5708,2011-03-30T13:57:29Z,FALSE,https://t.co/hFG96rbjTr,http://www.plus.google.com/+MichaelPradipta,,https://pbs.twimg.com/profile_banners/274537997/1583004137,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/577449720437583872/5zqII7Mo_normal.jpeg
1193318772,1237083001588043778,2020-03-09T18:29:06Z,Rezanfadly,"Percaya lah ada virus yang lebih bahaya dari sars, mers, dan corona, Yaitu tiktok cepet bat tu penyebaran virus nya. JINGAN",Twitter for Android,123,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/Rezanfadly/status/1237083001588043778,softman,"Bandung, Jawa Barat",Karna aku pria tangguh bukan anak kecil jadinya softman bukan softboy lagi.,,FALSE,82,87,0,413,128,2013-02-18T14:28:00Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1193318772/1583081659,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1163725880482340865/x9YnlqyD_normal.jpg
903093221995061248,1237079718672748544,2020-03-09T18:16:03Z,jenny_alvina,"Enam WNI Positif Virus Corona, Ari Wibowo: Saya Nggak Percaya https://t.co/QWTwj8HN9z https://t.co/Bd8Jy3IWNp",dlvr.it,85,,,,FALSE,FALSE,0,0,,,,,dlvr.it/RRYLj5,https://t.co/QWTwj8HN9z,http://dlvr.it/RRYLj5,http://pbs.twimg.com/media/ESr9cqTUUAMHxP_.jpg,https://t.co/Bd8Jy3IWNp,https://twitter.com/jenny_alvina/status/1237079718672748544/photo/1,photo,http://pbs.twimg.com/media/ESr9cqTUUAMHxP_.jpg,https://t.co/Bd8Jy3IWNp,https://twitter.com/jenny_alvina/status/1237079718672748544/photo/1,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/jenny_alvina/status/1237079718672748544,Jenny Alvina,"","Love What I Do
nnyalv@mt",,FALSE,57,25,0,5745,14,2017-08-31T03:12:57Z,FALSE,,,,https://pbs.twimg.com/profile_banners/903093221995061248/1504368478,,http://pbs.twimg.com/profile_images/934064539737485312/qrOb3NIb_normal.jpg
